#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,0.4000,-28.88,160.28
2,11.0,0.4000,-27.25,159.19
3,12.0,0.4000,-25.78,157.57
4,13.2,0.4000,-24.16,156.12
5,14.5,0.4000,-22.62,154.26
6,15.8,0.4000,-21.21,152.52
7,17.4,0.4000,-19.63,150.48
8,19.1,0.4000,-18.11,148.11
9,20.9,0.4000,-16.65,145.84
10,22.9,0.4000,-15.20,143.23
11,25.1,0.4000,-13.79,140.37
12,27.5,0.4000,-12.37,137.41
13,30.2,0.4000,-10.98,134.13
14,33.1,0.4000,-9.64,130.73
15,36.3,0.4000,-8.32,127.21
16,39.8,0.4000,-7.02,123.50
17,43.7,0.4000,-5.86,119.02
18,47.9,0.4000,-4.63,115.05
19,52.5,0.4000,-3.57,110.90
20,57.5,0.4000,-2.49,106.24
21,63.1,0.4000,-1.51,101.45
22,69.2,0.4000,-0.57,96.82
23,75.9,0.4000,0.34,92.12
24,83.2,0.4000,1.14,87.24
25,91.2,0.4000,1.91,82.39
26,100.0,0.4000,2.61,77.52
27,109.6,0.4000,3.25,72.81
28,120.2,0.4000,3.82,68.05
29,131.8,0.4000,4.35,63.35
30,144.5,0.4000,4.83,58.77
31,158.5,0.4000,5.24,54.36
32,173.8,0.4000,5.63,50.06
33,190.5,0.4000,5.94,45.93
34,208.9,0.4000,6.23,41.93
35,229.1,0.4000,6.47,38.13
36,251.2,0.4000,6.70,34.46
37,275.4,0.4000,6.89,30.97
38,302.0,0.4000,7.04,27.60
39,331.1,0.4000,7.18,24.33
40,363.1,0.4000,7.28,21.30
41,398.1,0.4000,7.38,18.27
42,436.5,0.4000,7.45,15.41
43,478.6,0.4000,7.53,12.67
44,524.8,0.4000,7.57,9.98
45,575.4,0.4000,7.60,7.35
46,631.0,0.4000,7.63,4.81
47,691.8,0.4000,7.64,2.29
48,758.6,0.4000,7.64,-0.29
49,831.8,0.4000,7.64,-2.81
50,912.0,0.4000,7.62,-5.37
51,1000.0,0.4000,7.60,-7.94
52,1096.5,0.4000,7.57,-10.60
53,1202.3,0.4000,7.51,-13.33
54,1318.3,0.4000,7.44,-16.10
55,1445.4,0.4000,7.37,-19.01
56,1584.9,0.4000,7.27,-22.04
57,1737.8,0.4000,7.15,-25.23
58,1905.5,0.4000,7.02,-28.52
59,2089.3,0.4000,6.85,-31.96
60,2290.9,0.4000,6.66,-35.54
61,2511.9,0.4000,6.43,-39.33
62,2754.2,0.4000,6.16,-43.29
63,3020.0,0.4000,5.86,-47.42
64,3311.3,0.4000,5.51,-51.69
65,3630.8,0.4000,5.13,-56.14
66,3981.1,0.4000,4.68,-60.68
67,4365.2,0.4000,4.19,-65.32
68,4786.3,0.4000,3.64,-70.08
69,5248.1,0.4000,3.02,-74.91
70,5754.4,0.4000,2.33,-79.78
71,6309.6,0.4000,1.58,-84.65
72,6918.3,0.4000,0.77,-89.46
73,7585.8,0.4000,-0.09,-94.23
74,8317.6,0.4000,-1.02,-98.99
75,9120.1,0.4000,-2.02,-103.55
76,10000.0,0.4000,-3.06,-107.92
77,10964.8,0.4000,-4.16,-112.21
78,12022.6,0.4000,-5.31,-116.29
79,13182.6,0.4000,-6.52,-120.12
80,14454.4,0.4000,-7.79,-123.68
81,15848.9,0.4000,-9.08,-127.02
82,17378.0,0.4000,-10.41,-130.16
83,19054.6,0.4000,-11.77,-132.98
84,20893.0,0.4000,-13.16,-135.43
85,22908.7,0.4000,-14.53,-137.57
86,25118.9,0.4000,-15.93,-139.47
87,27542.3,0.4000,-17.36,-140.95
88,30199.5,0.4000,-18.75,-142.23
89,33113.1,0.4000,-20.26,-142.74
90,36307.8,0.4000,-21.63,-143.17
91,39810.7,0.4000,-23.24,-143.29
92,43651.6,0.4000,-24.60,-143.11
93,47863.0,0.4000,-25.82,-141.47
94,52480.7,0.4000,-27.01,-138.74
95,57544.0,0.4000,-28.24,-136.17
96,63095.7,0.4000,-29.33,-132.44
97,69183.1,0.4000,-30.27,-129.21
98,75857.8,0.4000,-30.96,-124.52
99,83176.4,0.4000,-31.28,-120.90
100,91201.1,0.4000,-31.51,-116.45
101,100000.0,0.4000,-31.56,-109.96
