Freq.	V(n002)/V(n001)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+03	(-3.68694281681965e-05dB,-1.66937799578802e-01°)
1.00461579027840e+03	(-3.72108274509815e-05dB,-1.67708913224190e-01°)
1.00925288607668e+03	(-3.75553903287283e-05dB,-1.68483594015109e-01°)
1.01391138573668e+03	(-3.79031461512478e-05dB,-1.69261858526140e-01°)
1.01859138805412e+03	(-3.82541245586230e-05dB,-1.70043723409613e-01°)
1.02329299228075e+03	(-3.86083554571010e-05dB,-1.70829205396555e-01°)
1.02801629812647e+03	(-3.89658690325934e-05dB,-1.71618321296298e-01°)
1.03276140576140e+03	(-3.93266957554985e-05dB,-1.72411087997987e-01°)
1.03752841581801e+03	(-3.96908663749154e-05dB,-1.73207522470103e-01°)
1.04231742939330e+03	(-4.00584119282872e-05dB,-1.74007641760621e-01°)
1.04712854805090e+03	(-4.04293637414016e-05dB,-1.74811462998522e-01°)
1.05196187382322e+03	(-4.08037534361056e-05dB,-1.75619003393235e-01°)
1.05681750921366e+03	(-4.11816129206622e-05dB,-1.76430280235354e-01°)
1.06169555719873e+03	(-4.15629744071087e-05dB,-1.77245310897112e-01°)
1.06659612123026e+03	(-4.19478704073996e-05dB,-1.78064112832065e-01°)
1.07151930523761e+03	(-4.23363337305138e-05dB,-1.78886703577316e-01°)
1.07646521362984e+03	(-4.27283974959554e-05dB,-1.79713100751371e-01°)
1.08143395129794e+03	(-4.31240951318251e-05dB,-1.80543322056681e-01°)
1.08642562361707e+03	(-4.35234603767494e-05dB,-1.81377385279243e-01°)
1.09144033644876e+03	(-4.39265272808448e-05dB,-1.82215308288920e-01°)
1.09647819614319e+03	(-4.43333302115045e-05dB,-1.83057109039519e-01°)
1.10153930954142e+03	(-4.47439038668985e-05dB,-1.83902805570383e-01°)
1.10662378397767e+03	(-4.51582832528308e-05dB,-1.84752416005354e-01°)
1.11173172728159e+03	(-4.55765037135973e-05dB,-1.85605958554682e-01°)
1.11686324778056e+03	(-4.59986009155931e-05dB,-1.86463451514070e-01°)
1.12201845430197e+03	(-4.64246108588846e-05dB,-1.87324913265871e-01°)
1.12719745617551e+03	(-4.68545698858882e-05dB,-1.88190362279319e-01°)
1.13240036323556e+03	(-4.72885146640135e-05dB,-1.89059817111249e-01°)
1.13762728582343e+03	(-4.77264822126639e-05dB,-1.89933296405856e-01°)
1.14287833478977e+03	(-4.81685099003445e-05dB,-1.90810818895968e-01°)
1.14815362149688e+03	(-4.86146354311615e-05dB,-1.91692403402729e-01°)
1.15345325782109e+03	(-4.90648968718238e-05dB,-1.92578068836550e-01°)
1.15877735615513e+03	(-4.95193326371782e-05dB,-1.93467834197187e-01°)
1.16412602941049e+03	(-4.99779814988887e-05dB,-1.94361718574860e-01°)
1.16949939101987e+03	(-5.04408826027949e-05dB,-1.95259741149530e-01°)
1.17489755493953e+03	(-5.09080754438396e-05dB,-1.96161921192336e-01°)
1.18032063565173e+03	(-5.13795998959632e-05dB,-1.97068278065986e-01°)
1.18576874816716e+03	(-5.18554962014966e-05dB,-1.97978831224522e-01°)
1.19124200802738e+03	(-5.23358049750187e-05dB,-1.98893600214355e-01°)
1.19674053130725e+03	(-5.28205672149286e-05dB,-1.99812604675134e-01°)
1.20226443461742e+03	(-5.33098243015177e-05dB,-2.00735864338715e-01°)
1.20781383510678e+03	(-5.38036180017910e-05dB,-2.01663399031309e-01°)
1.21338885046498e+03	(-5.43019904636820e-05dB,-2.02595228672761e-01°)
1.21898959892487e+03	(-5.48049842420899e-05dB,-2.03531373277908e-01°)
1.22461619926505e+03	(-5.53126422795930e-05dB,-2.04471852956333e-01°)
1.23026877081238e+03	(-5.58250079228430e-05dB,-2.05416687913087e-01°)
1.23594743344451e+03	(-5.63421249216010e-05dB,-2.06365898449318e-01°)
1.24165230759241e+03	(-5.68640374374167e-05dB,-2.07319504962515e-01°)
1.24738351424295e+03	(-5.73907900388072e-05dB,-2.08277527947458e-01°)
1.25314117494142e+03	(-5.79224277157223e-05dB,-2.09239987995979e-01°)
1.25892541179417e+03	(-5.84589958727949e-05dB,-2.10206905798078e-01°)
1.26473634747116e+03	(-5.90005403438057e-05dB,-2.11178302142078e-01°)
1.27057410520855e+03	(-5.95471073897556e-05dB,-2.12154197915341e-01°)
1.27643880881135e+03	(-6.00987436979014e-05dB,-2.13134614104231e-01°)
1.28233058265603e+03	(-6.06554963981500e-05dB,-2.14119571795379e-01°)
1.28824955169314e+03	(-6.12174130601658e-05dB,-2.15109092175968e-01°)
1.29419584144999e+03	(-6.17845416924067e-05dB,-2.16103196533887e-01°)
1.30016957803330e+03	(-6.23569307604471e-05dB,-2.17101906258369e-01°)
1.30617088813185e+03	(-6.29346291734775e-05dB,-2.18105242840821e-01°)
1.31219989901921e+03	(-6.35176863026272e-05dB,-2.19113227874673e-01°)
1.31825673855641e+03	(-6.41061519828935e-05dB,-2.20125883056917e-01°)
1.32434153519467e+03	(-6.47000765063923e-05dB,-2.21143230187799e-01°)
1.33045441797810e+03	(-6.52995106483946e-05dB,-2.22165291171487e-01°)
1.33659551654645e+03	(-6.59045056432197e-05dB,-2.23192088016788e-01°)
1.34276496113787e+03	(-6.65151132179865e-05dB,-2.24223642837785e-01°)
1.34896288259166e+03	(-6.71313855762209e-05dB,-2.25259977853637e-01°)
1.35518941235104e+03	(-6.77533754113568e-05dB,-2.26301115390168e-01°)
1.36144468246596e+03	(-6.83811359086653e-05dB,-2.27347077879826e-01°)
