Freq.	V(n002)/V(n001)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+03	(-4.76542085214277e-05dB,-1.89789287647392e-01°)
1.00461579027840e+03	(-4.80955553045007e-05dB,-1.90666121948214e-01°)
1.00925288607668e+03	(-4.85409934059301e-05dB,-1.91547014762353e-01°)
1.01391138573668e+03	(-4.89905608258833e-05dB,-1.92431984979144e-01°)
1.01859138805412e+03	(-4.94442959107373e-05dB,-1.93321051577919e-01°)
1.02329299228075e+03	(-4.99022373742938e-05dB,-1.94214233627011e-01°)
1.02801629812647e+03	(-5.03644242871718e-05dB,-1.95111550286126e-01°)
1.03276140576140e+03	(-5.08308960816300e-05dB,-1.96013020804432e-01°)
1.03752841581801e+03	(-5.13016925631386e-05dB,-1.96918664523159e-01°)
1.04231742939330e+03	(-5.17768539026654e-05dB,-1.97828500875143e-01°)
1.04712854805090e+03	(-5.22564206521048e-05dB,-1.98742549384514e-01°)
1.05196187382322e+03	(-5.27404337298138e-05dB,-1.99660829668464e-01°)
1.05681750921366e+03	(-5.32289344505061e-05dB,-2.00583361437241e-01°)
1.06169555719873e+03	(-5.37219645088592e-05dB,-2.01510164494459e-01°)
1.06659612123026e+03	(-5.42195659824073e-05dB,-2.02441258737555e-01°)
1.07151930523761e+03	(-5.47217813479357e-05dB,-2.03376664158248e-01°)
1.07646521362984e+03	(-5.52286534785876e-05dB,-2.04316400843385e-01°)
1.08143395129794e+03	(-5.57402256448296e-05dB,-2.05260488974781e-01°)
1.08642562361707e+03	(-5.62565415212015e-05dB,-2.06208948830529e-01°)
1.09144033644876e+03	(-5.67776451892103e-05dB,-2.07161800784607e-01°)
1.09647819614319e+03	(-5.73035811440805e-05dB,-2.08119065308191e-01°)
1.10153930954142e+03	(-5.78343942947547e-05dB,-2.09080762968877e-01°)
1.10662378397767e+03	(-5.83701299745015e-05dB,-2.10046914432835e-01°)
1.11173172728159e+03	(-5.89108339283799e-05dB,-2.11017540464038e-01°)
1.11686324778056e+03	(-5.94565523392761e-05dB,-2.11992661925409e-01°)
1.12201845430197e+03	(-6.00073318124750e-05dB,-2.12972299778903e-01°)
1.12719745617551e+03	(-6.05632194007333e-05dB,-2.13956475086268e-01°)
1.13240036323556e+03	(-6.11242625830643e-05dB,-2.14945209009427e-01°)
1.13762728582343e+03	(-6.16905092907754e-05dB,-2.15938522811018e-01°)
1.14287833478977e+03	(-6.22620078978256e-05dB,-2.16936437854773e-01°)
1.14815362149688e+03	(-6.28388072323972e-05dB,-2.17938975606745e-01°)
1.15345325782109e+03	(-6.34209565778614e-05dB,-2.18946157634463e-01°)
1.15877735615513e+03	(-6.40085056775998e-05dB,-2.19958005608621e-01°)
1.16412602941049e+03	(-6.46015047417555e-05dB,-2.20974541303224e-01°)
1.16949939101987e+03	(-6.52000044501264e-05dB,-2.21995786595900e-01°)
1.17489755493953e+03	(-6.58040559521660e-05dB,-2.23021763468741e-01°)
1.18032063565173e+03	(-6.64137108775912e-05dB,-2.24052494008758e-01°)
1.18576874816716e+03	(-6.70290213402403e-05dB,-2.25088000408117e-01°)
1.19124200802738e+03	(-6.76500399371093e-05dB,-2.26128304965128e-01°)
1.19674053130725e+03	(-6.82768197637815e-05dB,-2.27173430084401e-01°)
1.20226443461742e+03	(-6.89094143980345e-05dB,-2.28223398277881e-01°)
1.20781383510678e+03	(-6.95478779403428e-05dB,-2.29278232164575e-01°)
1.21338885046498e+03	(-7.01922649781981e-05dB,-2.30337954472011e-01°)
1.21898959892487e+03	(-7.08426306179324e-05dB,-2.31402588035966e-01°)
1.22461619926505e+03	(-7.14990304808620e-05dB,-2.32472155801887e-01°)
1.23026877081238e+03	(-7.21615207061804e-05dB,-2.33546680824656e-01°)
1.23594743344451e+03	(-7.28301579567451e-05dB,-2.34626186269473e-01°)
1.24165230759241e+03	(-7.35049994354722e-05dB,-2.35710695412583e-01°)
1.24738351424295e+03	(-7.41861028670143e-05dB,-2.36800231641425e-01°)
1.25314117494142e+03	(-7.48735265257268e-05dB,-2.37894818455866e-01°)
1.25892541179417e+03	(-7.55673292279544e-05dB,-2.38994479467998e-01°)
1.26473634747116e+03	(-7.62675703378170e-05dB,-2.40099238403255e-01°)
1.27057410520855e+03	(-7.69743097855332e-05dB,-2.41209119100756e-01°)
1.27643880881135e+03	(-7.76876080442770e-05dB,-2.42324145513802e-01°)
1.28233058265603e+03	(-7.84075261716445e-05dB,-2.43444341711059e-01°)
1.28824955169314e+03	(-7.91341257855467e-05dB,-2.44569731876412e-01°)
1.29419584144999e+03	(-7.98674690873538e-05dB,-2.45700340309646e-01°)
1.30016957803330e+03	(-8.06076188541815e-05dB,-2.46836191427868e-01°)
1.30617088813185e+03	(-8.13546384620360e-05dB,-2.47977309764697e-01°)
1.31219989901921e+03	(-8.21085918665274e-05dB,-2.49123719972414e-01°)
1.31825673855641e+03	(-8.28695436327656e-05dB,-2.50275446821382e-01°)
1.32434153519467e+03	(-8.36375589276459e-05dB,-2.51432515201310e-01°)
1.33045441797810e+03	(-8.44127035294935e-05dB,-2.52594950121294e-01°)
1.33659551654645e+03	(-8.51950438280640e-05dB,-2.53762776711460e-01°)
1.34276496113787e+03	(-8.59846468476883e-05dB,-2.54936020222388e-01°)
1.34896288259166e+03	(-8.67815802289516e-05dB,-2.56114706026531e-01°)
1.35518941235104e+03	(-8.75859122460515e-05dB,-2.57298859618367e-01°)
1.36144468246596e+03	(-8.83977118241576e-05dB,-2.58488506615584e-01°)
1.36772882559585e+03	(-8.92170485268757e-05dB,-2.59683672759386e-01°)
1.37404197501252e+03	(-9.00439925716779e-05dB,-2.60884383914764e-01°)
1.38038426460289e+03	(-9.08786148337616e-05dB,-2.62090666072134e-01°)
1.38675582887189e+03	(-9.17209868566572e-05dB,-2.63302545346848e-01°)
1.39315680294531e+03	(-9.25711808493367e-05dB,-2.64520047980717e-01°)
1.39958732257262e+03	(-9.34292697055014e-05dB,-2.65743200342323e-01°)
1.40604752412992e+03	(-9.42953269977965e-05dB,-2.66972028927626e-01°)
1.41253754462276e+03	(-9.51694269874556e-05dB,-2.68206560360809e-01°)
1.41905752168910e+03	(-9.60516446406960e-05dB,-2.69446821394734e-01°)
1.42560759360220e+03	(-9.69420556190754e-05dB,-2.70692838911824e-01°)
1.43218789927355e+03	(-9.78407363026380e-05dB,-2.71944639924753e-01°)
1.43879857825585e+03	(-9.87477637822004e-05dB,-2.73202251576824e-01°)
1.44543977074593e+03	(-9.96632158738179e-05dB,-2.74465701143312e-01°)
1.45211161758775e+03	(-1.00587171127465e-04dB,-2.75735016031078e-01°)
1.45881426027536e+03	(-1.01519708828963e-04dB,-2.77010223780521e-01°)
1.46554784095592e+03	(-1.02460909006737e-04dB,-2.78291352065429e-01°)
1.47231250243273e+03	(-1.03410852442419e-04dB,-2.79578428693812e-01°)
1.47910838816822e+03	(-1.04369620687244e-04dB,-2.80871481609057e-01°)
1.48593564228701e+03	(-1.05337296039875e-04dB,-2.82170538890117e-01°)
1.49279440957900e+03	(-1.06313961587867e-04dB,-2.83475628752388e-01°)
1.49968483550238e+03	(-1.07299701192241e-04dB,-2.84786779548630e-01°)
1.50660706618675e+03	(-1.08294599507736e-04dB,-2.86104019769617e-01°)
1.51356124843622e+03	(-1.09298741983773e-04dB,-2.87427378044593e-01°)
1.52054752973250e+03	(-1.10312214866387e-04dB,-2.88756883142423e-01°)
1.52756605823808e+03	(-1.11335105224267e-04dB,-2.90092563972090e-01°)
1.53461698279930e+03	(-1.12367500942001e-04dB,-2.91434449583530e-01°)
1.54170045294957e+03	(-1.13409490723944e-04dB,-2.92782569168178e-01°)
1.54881661891249e+03	(-1.14461164117353e-04dB,-2.94136952060413e-01°)
1.55596563160508e+03	(-1.15522611513362e-04dB,-2.95497627737253e-01°)
1.56314764264096e+03	(-1.16593924146016e-04dB,-2.96864625820041e-01°)
1.57036280433356e+03	(-1.17675194113484e-04dB,-2.98237976074674e-01°)
1.57761126969936e+03	(-1.18766514386745e-04dB,-2.99617708412784e-01°)
1.58489319246112e+03	(-1.19867978801876e-04dB,-3.01003852892203e-01°)
1.59220872705118e+03	(-1.20979682085118e-04dB,-3.02396439718027e-01°)
1.59955802861468e+03	(-1.22101719854816e-04dB,-3.03795499243044e-01°)
1.60694125301289e+03	(-1.23234188628165e-04dB,-3.05201061968799e-01°)
1.61435855682650e+03	(-1.24377185837610e-04dB,-3.06613158546552e-01°)
1.62181009735894e+03	(-1.25530809828914e-04dB,-3.08031819777852e-01°)
1.62929603263973e+03	(-1.26695159875628e-04dB,-3.09457076614994e-01°)
1.63681652142782e+03	(-1.27870336187773e-04dB,-3.10888960162819e-01°)
1.64437172321494e+03	(-1.29056439924376e-04dB,-3.12327501678673e-01°)
1.65196179822903e+03	(-1.30253573194435e-04dB,-3.13772732573632e-01°)
1.65958690743757e+03	(-1.31461839072357e-04dB,-3.15224684413037e-01°)
1.66724721255107e+03	(-1.32681341603737e-04dB,-3.16683388917946e-01°)
1.67494287602645e+03	(-1.33912185816939e-04dB,-3.18148877965290e-01°)
1.68267406107048e+03	(-1.35154477734667e-04dB,-3.19621183589091e-01°)
1.69044093164328e+03	(-1.36408324376861e-04dB,-3.21100337981308e-01°)
1.69824365246176e+03	(-1.37673833774200e-04dB,-3.22586373492753e-01°)
1.70608238900314e+03	(-1.38951114980641e-04dB,-3.24079322633587e-01°)
1.71395730750844e+03	(-1.40240278082099e-04dB,-3.25579218074927e-01°)
1.72186857498602e+03	(-1.41541434196449e-04dB,-3.27086092648884e-01°)
1.72981635921511e+03	(-1.42854695501498e-04dB,-3.28599979350205e-01°)
1.73780082874939e+03	(-1.44180175230160e-04dB,-3.30120911336583e-01°)
1.74582215292052e+03	(-1.45517987683964e-04dB,-3.31648921929990e-01°)
1.75388050184177e+03	(-1.46868248250413e-04dB,-3.33184044617523e-01°)
1.76197604641164e+03	(-1.48231073409735e-04dB,-3.34726313051932e-01°)
1.77010895831743e+03	(-1.49606580735851e-04dB,-3.36275761052968e-01°)
1.77827941003894e+03	(-1.50994888925312e-04dB,-3.37832422608291e-01°)
1.78648757485206e+03	(-1.52396117785722e-04dB,-3.39396331874088e-01°)
1.79473362683254e+03	(-1.53810388273356e-04dB,-3.40967523176558e-01°)
1.80301774085958e+03	(-1.55237822478694e-04dB,-3.42546031012149e-01°)
1.81134009261962e+03	(-1.56678543653429e-04dB,-3.44131890049269e-01°)
1.81970085861000e+03	(-1.58132676217216e-04dB,-3.45725135128677e-01°)
1.82810021614276e+03	(-1.59600345762501e-04dB,-3.47325801264469e-01°)
1.83653834334836e+03	(-1.61081679078629e-04dB,-3.48933923645805e-01°)
1.84501541917949e+03	(-1.62576804153777e-04dB,-3.50549537637018e-01°)
1.85353162341483e+03	(-1.64085850195209e-04dB,-3.52172678778839e-01°)
1.86208713666288e+03	(-1.65608947624456e-04dB,-3.53803382789662e-01°)
1.87068214036582e+03	(-1.67146228105287e-04dB,-3.55441685566338e-01°)
1.87931681680328e+03	(-1.68697824556247e-04dB,-3.57087623185254e-01°)
1.88799134909631e+03	(-1.70263871149696e-04dB,-3.58741231903322e-01°)
1.89670592121116e+03	(-1.71844503334958e-04dB,-3.60402548159050e-01°)
1.90546071796326e+03	(-1.73439857844109e-04dB,-3.62071608573534e-01°)
1.91425592502110e+03	(-1.75050072710306e-04dB,-3.63748449951495e-01°)
1.92309172891018e+03	(-1.76675287277430e-04dB,-3.65433109282572e-01°)
1.93196831701694e+03	(-1.78315642214556e-04dB,-3.67125623741782e-01°)
1.94088587759280e+03	(-1.79971279519816e-04dB,-3.68826030691361e-01°)
1.94984459975806e+03	(-1.81642342556083e-04dB,-3.70534367681287e-01°)
1.95884467350601e+03	(-1.83328976031685e-04dB,-3.72250672450553e-01°)
1.96788628970686e+03	(-1.85031326044772e-04dB,-3.73974982928227e-01°)
1.97696964011188e+03	(-1.86749540075606e-04dB,-3.75707337234646e-01°)
1.98609491735739e+03	(-1.88483767007777e-04dB,-3.77447773682476e-01°)
1.99526231496890e+03	(-1.90234157145568e-04dB,-3.79196330777522e-01°)
2.00447202736518e+03	(-1.92000862222638e-04dB,-3.80953047220560e-01°)
2.01372424986241e+03	(-1.93784035417454e-04dB,-3.82717961907831e-01°)
2.02301917867829e+03	(-1.95583831360050e-04dB,-3.84491113932344e-01°)
2.03235701093624e+03	(-1.97400406170602e-04dB,-3.86272542585134e-01°)
2.04173794466955e+03	(-1.99233917435322e-04dB,-3.88062287356524e-01°)
2.05116217882559e+03	(-2.01084524261438e-04dB,-3.89860387936965e-01°)
2.06062991327002e+03	(-2.02952387260794e-04dB,-3.91666884218297e-01°)
2.07014134879106e+03	(-2.04837668581690e-04dB,-3.93481816295470e-01°)
