Freq.	V(n002)/V(n001)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+03	(-4.28960445144216e-05dB,-1.80065311729172e-01°)
1.00461579027840e+03	(-4.32932480862075e-05dB,-1.80897062776184e-01°)
1.00925288607668e+03	(-4.36941323571044e-05dB,-1.81732661464490e-01°)
1.01391138573668e+03	(-4.40987314862029e-05dB,-1.82572125672057e-01°)
1.01859138805412e+03	(-4.45070799489056e-05dB,-1.83415473360078e-01°)
1.02329299228075e+03	(-4.49192125398207e-05dB,-1.84262722574963e-01°)
1.02801629812647e+03	(-4.53351643833694e-05dB,-1.85113891448337e-01°)
1.03276140576140e+03	(-4.57549709212502e-05dB,-1.85968998196646e-01°)
1.03752841581801e+03	(-4.61786679355828e-05dB,-1.86828061122660e-01°)
1.04231742939330e+03	(-4.66062915392653e-05dB,-1.87691098614843e-01°)
1.04712854805090e+03	(-4.70378781740457e-05dB,-1.88558129148705e-01°)
1.05196187382322e+03	(-4.74734646298087e-05dB,-1.89429171286873e-01°)
1.05681750921366e+03	(-4.79130880368611e-05dB,-1.90304243679340e-01°)
1.06169555719873e+03	(-4.83567858640040e-05dB,-1.91183365064013e-01°)
1.06659612123026e+03	(-4.88045959378192e-05dB,-1.92066554267114e-01°)
1.07151930523761e+03	(-4.92565564378480e-05dB,-1.92953830203894e-01°)
1.07646521362984e+03	(-4.97127058917697e-05dB,-1.93845211878635e-01°)
1.08143395129794e+03	(-5.01730831898669e-05dB,-1.94740718385598e-01°)
1.08642562361707e+03	(-5.06377275879190e-05dB,-1.95640368909111e-01°)
1.09144033644876e+03	(-5.11066786994875e-05dB,-1.96544182723401e-01°)
1.09647819614319e+03	(-5.15799765180961e-05dB,-1.97452179194506e-01°)
1.10153930954142e+03	(-5.20576614008375e-05dB,-1.98364377779799e-01°)
1.10662378397767e+03	(-5.25397740818739e-05dB,-1.99280798028301e-01°)
1.11173172728159e+03	(-5.30263556801527e-05dB,-2.00201459581721e-01°)
1.11686324778056e+03	(-5.35174476936199e-05dB,-2.01126382173970e-01°)
1.12201845430197e+03	(-5.40130920069361e-05dB,-2.02055585633155e-01°)
1.12719745617551e+03	(-5.45133308972619e-05dB,-2.02989089880386e-01°)
1.13240036323556e+03	(-5.50182070352231e-05dB,-2.03926914931280e-01°)
1.13762728582343e+03	(-5.55277634878042e-05dB,-2.04869080896047e-01°)
1.14287833478977e+03	(-5.60420437250985e-05dB,-2.05815607980123e-01°)
1.14815362149688e+03	(-5.65610916183800e-05dB,-2.06766516484566e-01°)
1.15345325782109e+03	(-5.70849514584266e-05dB,-2.07721826806375e-01°)
1.15877735615513e+03	(-5.76136679333401e-05dB,-2.08681559439204e-01°)
1.16412602941049e+03	(-5.81472861622985e-05dB,-2.09645734974002e-01°)
1.16949939101987e+03	(-5.86858516762699e-05dB,-2.10614374098606e-01°)
1.17489755493953e+03	(-5.92294104344064e-05dB,-2.11587497599420e-01°)
1.18032063565173e+03	(-5.97780088240444e-05dB,-2.12565126361250e-01°)
1.18576874816716e+03	(-6.03316936693842e-05dB,-2.13547281367941e-01°)
1.19124200802738e+03	(-6.08905122208827e-05dB,-2.14533983702454e-01°)
1.19674053130725e+03	(-6.14545121783975e-05dB,-2.15525254548064e-01°)
1.20226443461742e+03	(-6.20237416854020e-05dB,-2.16521115188432e-01°)
1.20781383510678e+03	(-6.25982493347711e-05dB,-2.17521587008244e-01°)
1.21338885046498e+03	(-6.31780841668537e-05dB,-2.18526691493529e-01°)
1.21898959892487e+03	(-6.37632956877947e-05dB,-2.19536450232691e-01°)
1.22461619926505e+03	(-6.43539338608571e-05dB,-2.20550884916033e-01°)
1.23026877081238e+03	(-6.49500491199230e-05dB,-2.21570017337105e-01°)
1.23594743344451e+03	(-6.55516923637078e-05dB,-2.22593869393422e-01°)
1.24165230759241e+03	(-6.61589149750477e-05dB,-2.23622463085985e-01°)
1.24738351424295e+03	(-6.67717687996845e-05dB,-2.24655820520554e-01°)
1.25314117494142e+03	(-6.73903061858044e-05dB,-2.25693963907963e-01°)
1.25892541179417e+03	(-6.80145799647511e-05dB,-2.26736915564917e-01°)
1.26473634747116e+03	(-6.86446434519911e-05dB,-2.27784697913831e-01°)
1.27057410520855e+03	(-6.92805504731512e-05dB,-2.28837333484103e-01°)
1.27643880881135e+03	(-6.99223553514826e-05dB,-2.29894844912191e-01°)
1.28233058265603e+03	(-7.05701129126834e-05dB,-2.30957254942487e-01°)
1.28824955169314e+03	(-7.12238785051497e-05dB,-2.32024586427638e-01°)
1.29419584144999e+03	(-7.18837079874402e-05dB,-2.33096862329098e-01°)
1.30016957803330e+03	(-7.25496577398489e-05dB,-2.34174105717922e-01°)
1.30617088813185e+03	(-7.32217846721200e-05dB,-2.35256339774453e-01°)
1.31219989901921e+03	(-7.39001462186270e-05dB,-2.36343587790541e-01°)
1.31825673855641e+03	(-7.45848003644104e-05dB,-2.37435873168432e-01°)
1.32434153519467e+03	(-7.52758056249275e-05dB,-2.38533219421723e-01°)
1.33045441797810e+03	(-7.59732210663036e-05dB,-2.39635650177426e-01°)
1.33659551654645e+03	(-7.66771063043687e-05dB,-2.40743189173981e-01°)
1.34276496113787e+03	(-7.73875215162301e-05dB,-2.41855860263959e-01°)
1.34896288259166e+03	(-7.81045274373800e-05dB,-2.42973687413661e-01°)
1.35518941235104e+03	(-7.88281853771256e-05dB,-2.44096694703837e-01°)
1.36144468246596e+03	(-7.95585572108752e-05dB,-2.45224906330001e-01°)
1.36772882559585e+03	(-8.02957053984611e-05dB,-2.46358346604019e-01°)
1.37404197501252e+03	(-8.10396929812477e-05dB,-2.47497039953556e-01°)
1.38038426460289e+03	(-8.17905835850247e-05dB,-2.48641010922945e-01°)
1.38675582887189e+03	(-8.25484414450811e-05dB,-2.49790284174542e-01°)
1.39315680294531e+03	(-8.33133313849903e-05dB,-2.50944884488324e-01°)
1.39958732257262e+03	(-8.40853188378265e-05dB,-2.52104836763085e-01°)
1.40604752412992e+03	(-8.48644698480939e-05dB,-2.53270166016550e-01°)
1.41253754462276e+03	(-8.56508510890858e-05dB,-2.54440897386968e-01°)
1.41905752168910e+03	(-8.64445298358838e-05dB,-2.55617056132076e-01°)
1.42560759360220e+03	(-8.72455740183975e-05dB,-2.56798667631920e-01°)
1.43218789927355e+03	(-8.80540521856844e-05dB,-2.57985757387187e-01°)
1.43879857825585e+03	(-8.88700335310241e-05dB,-2.59178351021468e-01°)
1.44543977074593e+03	(-8.96935879015623e-05dB,-2.60376474281216e-01°)
1.45211161758775e+03	(-9.05247857925254e-05dB,-2.61580153036586e-01°)
1.45881426027536e+03	(-9.13636983645801e-05dB,-2.62789413281743e-01°)
1.46554784095592e+03	(-9.22103974419052e-05dB,-2.64004281135865e-01°)
1.47231250243273e+03	(-9.30649555208718e-05dB,-2.65224782843850e-01°)
1.47910838816822e+03	(-9.39274457777590e-05dB,-2.66450944776357e-01°)
1.48593564228701e+03	(-9.47979420735764e-05dB,-2.67682793431200e-01°)
1.49279440957900e+03	(-9.56765189656375e-05dB,-2.68920355433658e-01°)
1.49968483550238e+03	(-9.65632517037031e-05dB,-2.70163657537039e-01°)
1.50660706618675e+03	(-9.74582162502335e-05dB,-2.71412726623466e-01°)
1.51356124843622e+03	(-9.83614892678532e-05dB,-2.72667589704719e-01°)
1.52054752973250e+03	(-9.92731481540686e-05dB,-2.73928273922423e-01°)
1.52756605823808e+03	(-1.00193271019088e-04dB,-2.75194806549449e-01°)
1.53461698279930e+03	(-1.01121936708970e-04dB,-2.76467214989906e-01°)
1.54170045294957e+03	(-1.02059224816227e-04dB,-2.77745526780173e-01°)
1.54881661891249e+03	(-1.03005215665366e-04dB,-2.79029769589302e-01°)
1.55596563160508e+03	(-1.03959990349535e-04dB,-2.80319971220441e-01°)
1.56314764264096e+03	(-1.04923630717019e-04dB,-2.81616159610479e-01°)
