Freq.	V(n003)/V(n001)
1.00000000000000e+03	(-5.00536157158022e+01dB,8.98199259022719e+01°)
1.00461579027840e+03	(-5.00135843718373e+01dB,8.98190940624270e+01°)
1.00925288607668e+03	(-4.99735527377386e+01dB,8.98182583738590e+01°)
1.01391138573668e+03	(-4.99335208108192e+01dB,8.98174188186761e+01°)
1.01859138805412e+03	(-4.98934885883678e+01dB,8.98165753789020e+01°)
1.02329299228075e+03	(-4.98534560676476e+01dB,8.98157280364754e+01°)
1.02801629812647e+03	(-4.98134232458965e+01dB,8.98148767732503e+01°)
1.03276140576140e+03	(-4.97733901203270e+01dB,8.98140215709947e+01°)
1.03752841581801e+03	(-4.97333566881256e+01dB,8.98131624113907e+01°)
1.04231742939330e+03	(-4.96933229464526e+01dB,8.98122992760340e+01°)
1.04712854805090e+03	(-4.96532888924423e+01dB,8.98114321464334e+01°)
1.05196187382322e+03	(-4.96132545232021e+01dB,8.98105610040104e+01°)
1.05681750921366e+03	(-4.95732198358130e+01dB,8.98096858300987e+01°)
1.06169555719873e+03	(-4.95331848273285e+01dB,8.98088066059439e+01°)
1.06659612123026e+03	(-4.94931494947751e+01dB,8.98079233127030e+01°)
1.07151930523761e+03	(-4.94531138351515e+01dB,8.98070359314440e+01°)
1.07646521362984e+03	(-4.94130778454289e+01dB,8.98061444431454e+01°)
1.08143395129794e+03	(-4.93730415225502e+01dB,8.98052488286956e+01°)
1.08642562361707e+03	(-4.93330048634298e+01dB,8.98043490688929e+01°)
1.09144033644876e+03	(-4.92929678649540e+01dB,8.98034451444447e+01°)
1.09647819614319e+03	(-4.92529305239797e+01dB,8.98025370359671e+01°)
1.10153930954142e+03	(-4.92128928373351e+01dB,8.98016247239845e+01°)
1.10662378397767e+03	(-4.91728548018187e+01dB,8.98007081889292e+01°)
1.11173172728159e+03	(-4.91328164141993e+01dB,8.97997874111408e+01°)
1.11686324778056e+03	(-4.90927776712161e+01dB,8.97988623708658e+01°)
1.12201845430197e+03	(-4.90527385695778e+01dB,8.97979330482573e+01°)
1.12719745617551e+03	(-4.90126991059625e+01dB,8.97969994233741e+01°)
1.13240036323556e+03	(-4.89726592770177e+01dB,8.97960614761809e+01°)
1.13762728582343e+03	(-4.89326190793597e+01dB,8.97951191865471e+01°)
1.14287833478977e+03	(-4.88925785095736e+01dB,8.97941725342470e+01°)
1.14815362149688e+03	(-4.88525375642127e+01dB,8.97932214989587e+01°)
1.15345325782109e+03	(-4.88124962397983e+01dB,8.97922660602641e+01°)
1.15877735615513e+03	(-4.87724545328195e+01dB,8.97913061976483e+01°)
1.16412602941049e+03	(-4.87324124397329e+01dB,8.97903418904989e+01°)
1.16949939101987e+03	(-4.86923699569623e+01dB,8.97893731181057e+01°)
1.17489755493953e+03	(-4.86523270808981e+01dB,8.97883998596603e+01°)
1.18032063565173e+03	(-4.86122838078974e+01dB,8.97874220942555e+01°)
1.18576874816716e+03	(-4.85722401342836e+01dB,8.97864398008847e+01°)
1.19124200802738e+03	(-4.85321960563458e+01dB,8.97854529584414e+01°)
1.19674053130725e+03	(-4.84921515703389e+01dB,8.97844615457191e+01°)
