#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,4500.0,1.0000,0.09,-1.49
2,4867.5,1.0000,0.11,-1.59
3,5265.1,1.0000,0.13,-1.72
4,5695.1,1.0000,0.14,-1.83
5,6160.2,1.0000,0.16,-2.05
6,6663.3,1.0000,0.20,-2.22
7,7207.6,1.0000,0.23,-2.39
8,7796.2,1.0000,0.26,-2.62
9,8433.0,1.0000,0.31,-2.87
10,9121.7,1.0000,0.37,-3.10
11,9866.7,1.0000,0.43,-3.38
12,10672.5,1.0000,0.50,-3.72
13,11544.2,1.0000,0.59,-4.08
14,12487.1,1.0000,0.69,-4.51
15,13506.9,1.0000,0.82,-4.92
16,14610.1,1.0000,0.98,-5.56
17,15803.3,1.0000,1.16,-6.17
18,17094.0,1.0000,1.37,-6.93
19,18490.1,1.0000,1.62,-7.77
20,20000.3,1.0000,1.91,-8.82
21,21633.7,1.0000,2.29,-10.14
22,23400.6,1.0000,2.72,-11.77
23,25311.8,1.0000,3.26,-13.97
24,27379.1,1.0000,3.98,-16.57
25,29615.3,1.0000,4.50,-17.56
26,32034.0,1.0000,5.43,-21.79
27,34650.3,1.0000,6.56,-27.70
28,37480.3,1.0000,7.91,-37.00
29,40541.5,1.0000,9.39,-51.78
30,43852.6,1.0000,10.30,-74.90
31,47434.2,1.0000,9.49,-102.19
32,51308.3,1.0000,7.10,-123.93
33,55498.7,1.0000,4.30,-137.78
34,60031.5,1.0000,1.65,-146.11
35,64934.4,1.0000,-0.82,-151.65
36,70237.8,1.0000,-3.05,-155.60
37,75974.4,1.0000,-5.13,-157.71
38,82179.4,1.0000,-7.02,-159.23
39,88891.2,1.0000,-8.83,-161.28
40,96151.2,1.0000,-10.50,-162.97
41,104004.2,1.0000,-12.15,-163.91
42,112498.5,1.0000,-13.74,-164.67
43,121686.6,1.0000,-15.30,-165.28
44,131625.1,1.0000,-16.79,-165.99
45,142375.3,1.0000,-18.25,-166.25
46,154003.5,1.0000,-19.71,-166.44
47,166581.4,1.0000,-21.14,-166.52
48,180186.6,1.0000,-22.54,-166.64
49,194903.0,1.0000,-23.93,-166.74
50,210821.3,1.0000,-25.31,-166.89
51,228039.7,1.0000,-26.71,-167.09
52,246664.3,1.0000,-28.08,-167.10
53,266810.1,1.0000,-29.43,-167.09
54,288601.3,1.0000,-30.75,-167.15
55,312172.2,1.0000,-32.11,-167.08
56,337668.2,1.0000,-33.45,-167.06
57,365246.6,1.0000,-34.80,-166.91
58,395077.3,1.0000,-36.13,-166.91
59,427344.5,1.0000,-37.52,-166.99
60,462246.9,1.0000,-38.88,-166.77
61,500000.0,1.0000,-40.11,-166.49
