#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,4500.0,0.5000,0.08,-1.37
2,4867.5,0.5000,0.10,-1.51
3,5265.1,0.5000,0.11,-1.60
4,5695.1,0.5000,0.13,-1.73
5,6160.2,0.5000,0.14,-1.89
6,6663.3,0.5000,0.18,-2.11
7,7207.6,0.5000,0.21,-2.26
8,7796.2,0.5000,0.24,-2.45
9,8433.0,0.5000,0.30,-2.69
10,9121.7,0.5000,0.35,-2.94
11,9866.7,0.5000,0.41,-3.22
12,10672.5,0.5000,0.48,-3.49
13,11544.2,0.5000,0.55,-3.88
14,12487.1,0.5000,0.67,-4.20
15,13506.9,0.5000,0.79,-4.60
16,14610.1,0.5000,0.94,-5.10
17,15803.3,0.5000,1.11,-5.67
18,17094.0,0.5000,1.31,-6.31
19,18490.1,0.5000,1.54,-7.05
20,20000.3,0.5000,1.82,-8.02
21,21633.7,0.5000,2.17,-9.17
22,23400.6,0.5000,2.59,-10.54
23,25311.8,0.5000,3.09,-12.20
24,27379.1,0.5000,3.70,-14.49
25,29615.3,0.5000,4.46,-17.51
26,32034.0,0.5000,5.39,-21.73
27,34650.3,0.5000,6.56,-27.75
28,37480.3,0.5000,7.94,-37.16
29,40541.5,0.5000,9.44,-52.51
30,43852.6,0.5000,10.25,-76.04
31,47434.2,0.5000,9.38,-103.54
32,51308.3,0.5000,6.93,-124.91
33,55498.7,0.5000,4.11,-138.48
34,60031.5,0.5000,1.46,-146.70
35,64934.4,0.5000,-0.95,-152.16
36,70237.8,0.5000,-3.13,-155.82
37,75974.4,0.5000,-5.16,-158.61
38,82179.4,0.5000,-7.05,-160.58
39,88891.2,0.5000,-8.85,-162.14
40,96151.2,0.5000,-10.56,-163.30
41,104004.2,0.5000,-12.19,-164.21
42,112498.5,0.5000,-13.79,-164.93
43,121686.6,0.5000,-15.32,-165.44
44,131625.1,0.5000,-16.82,-165.96
45,142375.3,0.5000,-18.33,-166.36
46,154003.5,0.5000,-19.77,-166.69
47,166581.4,0.5000,-21.20,-166.83
48,180186.6,0.5000,-22.59,-166.88
49,194903.0,0.5000,-23.99,-166.99
50,210821.3,0.5000,-25.38,-167.17
51,228039.7,0.5000,-26.75,-167.10
52,246664.3,0.5000,-28.14,-167.11
53,266810.1,0.5000,-29.49,-167.13
54,288601.3,0.5000,-30.84,-167.06
55,312172.2,0.5000,-32.21,-166.99
56,337668.2,0.5000,-33.54,-166.76
57,365246.6,0.5000,-34.89,-166.69
58,395077.3,0.5000,-36.24,-166.46
59,427344.5,0.5000,-37.62,-166.37
60,462246.9,0.5000,-39.05,-166.08
61,500000.0,0.5000,-40.37,-165.46
