#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,4500.0,0.5000,0.01,-1.09
2,4867.5,0.5000,-0.01,-1.14
3,5265.1,0.5000,-0.01,-1.21
4,5695.1,0.5000,-0.01,-1.32
5,6160.2,0.5000,-0.01,-1.43
6,6663.3,0.5000,-0.01,-1.54
7,7207.6,0.5000,-0.01,-1.71
8,7796.2,0.5000,-0.01,-1.83
9,8433.0,0.5000,-0.01,-1.99
10,9121.7,0.5000,-0.03,-2.18
11,9866.7,0.5000,-0.04,-2.34
12,10672.5,0.5000,-0.04,-2.56
13,11544.2,0.5000,-0.04,-2.75
14,12487.1,0.5000,-0.05,-3.04
15,13506.9,0.5000,-0.06,-3.28
16,14610.1,0.5000,-0.07,-3.66
17,15803.3,0.5000,-0.08,-3.96
18,17094.0,0.5000,-0.10,-4.39
19,18490.1,0.5000,-0.13,-4.87
20,20000.3,0.5000,-0.15,-5.38
21,21633.7,0.5000,-0.19,-6.02
22,23400.6,0.5000,-0.23,-6.76
23,25311.8,0.5000,-0.30,-7.72
24,27379.1,0.5000,-0.40,-8.82
25,29615.3,0.5000,-0.55,-10.24
26,32034.0,0.5000,-0.81,-12.02
27,34650.3,0.5000,-1.23,-14.14
28,37480.3,0.5000,-2.04,-16.20
29,40541.5,0.5000,-3.43,-15.57
30,43852.6,0.5000,-5.00,-4.98
31,47434.2,0.5000,-4.48,11.52
32,51308.3,0.5000,-2.79,16.96
33,55498.7,0.5000,-1.66,15.87
34,60031.5,0.5000,-1.02,13.58
35,64934.4,0.5000,-0.67,11.44
36,70237.8,0.5000,-0.47,9.68
37,75974.4,0.5000,-0.32,8.35
38,82179.4,0.5000,-0.23,7.24
39,88891.2,0.5000,-0.18,6.30
40,96151.2,0.5000,-0.14,5.56
41,104004.2,0.5000,-0.12,4.87
42,112498.5,0.5000,-0.08,4.35
43,121686.6,0.5000,-0.06,3.87
44,131625.1,0.5000,-0.06,3.50
45,142375.3,0.5000,-0.03,3.10
46,154003.5,0.5000,-0.04,2.75
47,166581.4,0.5000,-0.03,2.46
48,180186.6,0.5000,-0.02,2.18
49,194903.0,0.5000,-0.01,1.94
50,210821.3,0.5000,-0.00,1.71
51,228039.7,0.5000,-0.01,1.53
52,246664.3,0.5000,-0.02,1.32
53,266810.1,0.5000,-0.01,1.15
54,288601.3,0.5000,-0.01,0.95
55,312172.2,0.5000,-0.01,0.80
56,337668.2,0.5000,-0.01,0.59
57,365246.6,0.5000,-0.02,0.46
58,395077.3,0.5000,0.01,0.29
59,427344.5,0.5000,0.01,0.12
60,462246.9,0.5000,0.00,0.00
61,500000.0,0.5000,0.01,-0.18
