#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,0.4000,-30.49,160.47
2,11.0,0.4000,-28.97,159.54
3,12.0,0.4000,-27.51,157.78
4,13.2,0.4000,-25.94,156.30
5,14.5,0.4000,-24.36,154.39
6,15.8,0.4000,-22.96,152.57
7,17.4,0.4000,-21.37,150.47
8,19.1,0.4000,-19.85,148.31
9,20.9,0.4000,-18.40,145.92
10,22.9,0.4000,-16.94,143.37
11,25.1,0.4000,-15.51,140.60
12,27.5,0.4000,-14.17,137.62
13,30.2,0.4000,-12.71,134.37
14,33.1,0.4000,-11.35,131.01
15,36.3,0.4000,-10.06,127.49
16,39.8,0.4000,-8.78,123.58
17,43.7,0.4000,-7.62,119.36
18,47.9,0.4000,-6.41,115.07
19,52.5,0.4000,-5.31,110.81
20,57.5,0.4000,-4.24,106.38
21,63.1,0.4000,-3.24,101.91
22,69.2,0.4000,-2.26,97.21
23,75.9,0.4000,-1.37,92.27
24,83.2,0.4000,-0.54,87.44
25,91.2,0.4000,0.22,82.62
26,100.0,0.4000,0.92,77.75
27,109.6,0.4000,1.57,72.94
28,120.2,0.4000,2.14,68.16
29,131.8,0.4000,2.66,63.46
30,144.5,0.4000,3.14,58.88
31,158.5,0.4000,3.56,54.47
32,173.8,0.4000,3.94,50.12
33,190.5,0.4000,4.26,46.05
34,208.9,0.4000,4.54,42.04
35,229.1,0.4000,4.79,38.18
36,251.2,0.4000,5.01,34.52
37,275.4,0.4000,5.22,30.96
38,302.0,0.4000,5.37,27.60
39,331.1,0.4000,5.51,24.40
40,363.1,0.4000,5.61,21.35
41,398.1,0.4000,5.72,18.38
42,436.5,0.4000,5.79,15.51
43,478.6,0.4000,5.86,12.76
44,524.8,0.4000,5.90,10.07
45,575.4,0.4000,5.94,7.45
46,631.0,0.4000,5.97,4.83
47,691.8,0.4000,5.98,2.35
48,758.6,0.4000,5.98,-0.23
49,831.8,0.4000,5.98,-2.76
50,912.0,0.4000,5.97,-5.31
51,1000.0,0.4000,5.94,-7.89
52,1096.5,0.4000,5.91,-10.52
53,1202.3,0.4000,5.85,-13.24
54,1318.3,0.4000,5.79,-16.04
55,1445.4,0.4000,5.71,-18.95
56,1584.9,0.4000,5.60,-21.98
57,1737.8,0.4000,5.50,-25.14
58,1905.5,0.4000,5.36,-28.46
59,2089.3,0.4000,5.19,-31.94
60,2290.9,0.4000,4.99,-35.55
61,2511.9,0.4000,4.78,-39.29
62,2754.2,0.4000,4.51,-43.23
63,3020.0,0.4000,4.21,-47.35
64,3311.3,0.4000,3.86,-51.67
65,3630.8,0.4000,3.44,-56.09
66,3981.1,0.4000,3.01,-60.62
67,4365.2,0.4000,2.51,-65.28
68,4786.3,0.4000,1.95,-70.03
69,5248.1,0.4000,1.34,-74.85
70,5754.4,0.4000,0.67,-79.72
71,6309.6,0.4000,-0.07,-84.59
72,6918.3,0.4000,-0.88,-89.40
73,7585.8,0.4000,-1.76,-94.21
74,8317.6,0.4000,-2.68,-98.91
75,9120.1,0.4000,-3.66,-103.51
76,10000.0,0.4000,-4.72,-107.97
77,10964.8,0.4000,-5.82,-112.21
78,12022.6,0.4000,-7.00,-116.24
79,13182.6,0.4000,-8.22,-120.07
80,14454.4,0.4000,-9.45,-123.69
81,15848.9,0.4000,-10.73,-127.07
82,17378.0,0.4000,-12.05,-130.21
83,19054.6,0.4000,-13.42,-133.01
84,20893.0,0.4000,-14.80,-135.49
85,22908.7,0.4000,-16.20,-137.80
86,25118.9,0.4000,-17.61,-139.74
87,27542.3,0.4000,-19.07,-141.37
88,30199.5,0.4000,-20.53,-142.69
89,33113.1,0.4000,-22.01,-143.55
90,36307.8,0.4000,-23.53,-144.06
91,39810.7,0.4000,-24.88,-143.88
92,43651.6,0.4000,-26.34,-143.42
93,47863.0,0.4000,-27.80,-142.33
94,52480.7,0.4000,-29.12,-139.96
95,57544.0,0.4000,-30.35,-138.81
96,63095.7,0.4000,-31.54,-134.78
97,69183.1,0.4000,-32.55,-131.26
98,75857.8,0.4000,-33.52,-127.00
99,83176.4,0.4000,-34.14,-122.14
100,91201.1,0.4000,-34.39,-117.53
101,100000.0,0.4000,-34.28,-112.73
