#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,0.4000,-29.72,160.45
2,11.0,0.4000,-28.22,159.13
3,12.0,0.4000,-26.75,157.72
4,13.2,0.4000,-25.18,156.14
5,14.5,0.4000,-23.61,154.28
6,15.8,0.4000,-22.19,152.63
7,17.4,0.4000,-20.60,150.53
8,19.1,0.4000,-19.08,148.24
9,20.9,0.4000,-17.63,145.84
10,22.9,0.4000,-16.18,143.30
11,25.1,0.4000,-14.75,140.49
12,27.5,0.4000,-13.37,137.52
13,30.2,0.4000,-11.94,134.30
14,33.1,0.4000,-10.60,130.88
15,36.3,0.4000,-9.28,127.40
16,39.8,0.4000,-8.01,123.54
17,43.7,0.4000,-6.74,119.32
18,47.9,0.4000,-5.61,115.51
19,52.5,0.4000,-4.54,110.93
20,57.5,0.4000,-3.48,106.42
21,63.1,0.4000,-2.44,101.87
22,69.2,0.4000,-1.47,96.99
23,75.9,0.4000,-0.61,92.24
24,83.2,0.4000,0.20,87.39
25,91.2,0.4000,0.95,82.50
26,100.0,0.4000,1.65,77.70
27,109.6,0.4000,2.29,72.92
28,120.2,0.4000,2.87,68.13
29,131.8,0.4000,3.39,63.46
30,144.5,0.4000,3.85,58.95
31,158.5,0.4000,4.28,54.41
32,173.8,0.4000,4.66,50.12
33,190.5,0.4000,5.01,46.00
34,208.9,0.4000,5.28,41.96
35,229.1,0.4000,5.53,38.18
36,251.2,0.4000,5.76,34.46
37,275.4,0.4000,5.94,30.97
38,302.0,0.4000,6.09,27.59
39,331.1,0.4000,6.23,24.35
40,363.1,0.4000,6.34,21.30
41,398.1,0.4000,6.45,18.34
42,436.5,0.4000,6.53,15.47
43,478.6,0.4000,6.59,12.71
44,524.8,0.4000,6.63,10.03
45,575.4,0.4000,6.67,7.39
46,631.0,0.4000,6.69,4.81
47,691.8,0.4000,6.70,2.29
48,758.6,0.4000,6.71,-0.23
49,831.8,0.4000,6.71,-2.81
50,912.0,0.4000,6.69,-5.33
51,1000.0,0.4000,6.66,-7.90
52,1096.5,0.4000,6.63,-10.58
53,1202.3,0.4000,6.58,-13.33
54,1318.3,0.4000,6.52,-16.08
55,1445.4,0.4000,6.43,-19.01
56,1584.9,0.4000,6.34,-22.03
57,1737.8,0.4000,6.21,-25.19
58,1905.5,0.4000,6.08,-28.52
59,2089.3,0.4000,5.91,-31.90
60,2290.9,0.4000,5.72,-35.54
61,2511.9,0.4000,5.49,-39.33
62,2754.2,0.4000,5.24,-43.24
63,3020.0,0.4000,4.94,-47.37
64,3311.3,0.4000,4.59,-51.73
65,3630.8,0.4000,4.19,-56.09
66,3981.1,0.4000,3.75,-60.64
67,4365.2,0.4000,3.23,-65.33
68,4786.3,0.4000,2.67,-70.09
69,5248.1,0.4000,2.07,-74.85
70,5754.4,0.4000,1.38,-79.72
71,6309.6,0.4000,0.65,-84.59
72,6918.3,0.4000,-0.15,-89.46
73,7585.8,0.4000,-1.03,-94.27
74,8317.6,0.4000,-1.96,-98.97
75,9120.1,0.4000,-2.95,-103.55
76,10000.0,0.4000,-3.99,-107.97
77,10964.8,0.4000,-5.09,-112.26
78,12022.6,0.4000,-6.28,-116.30
79,13182.6,0.4000,-7.49,-120.08
80,14454.4,0.4000,-8.72,-123.68
81,15848.9,0.4000,-10.01,-127.07
82,17378.0,0.4000,-11.32,-130.21
83,19054.6,0.4000,-12.67,-132.92
84,20893.0,0.4000,-14.05,-135.54
85,22908.7,0.4000,-15.45,-137.69
86,25118.9,0.4000,-16.87,-139.56
87,27542.3,0.4000,-18.32,-141.24
88,30199.5,0.4000,-19.74,-142.29
89,33113.1,0.4000,-21.75,-142.83
90,36307.8,0.4000,-22.64,-144.22
91,39810.7,0.4000,-24.11,-143.69
92,43651.6,0.4000,-25.56,-143.01
93,47863.0,0.4000,-26.79,-141.55
94,52480.7,0.4000,-28.15,-140.28
95,57544.0,0.4000,-29.46,-137.28
96,63095.7,0.4000,-30.64,-132.91
97,69183.1,0.4000,-31.42,-129.87
98,75857.8,0.4000,-32.17,-125.37
99,83176.4,0.4000,-32.85,-120.56
100,91201.1,0.4000,-32.83,-117.31
101,100000.0,0.4000,-33.16,-112.14
